0 - 4;4699;4316
05 - 09;5804;5422
10 - 14;5407;5101
15 - 19;5550;5271
20 - 24;5109;4781
25 - 29;4738;4437
30 - 34;4782;4591
35 - 39;5582;5150
40 - 44;5852;5287
45 - 49;4729;4174
50 - 54;3812;3380
55 - 59;2942;2759
60 - 64;2334;2422
65 - 69;1640;1739
70 - 74;1001;1171
75+;911;1282
