Manggar;10;3;28;153;18
Mengkubang;1;1;2;38;5
Kelapa Kampit;6;5;12;86;17
Gantung;5;3;12;86;7
Renggiang;1;0;3;34;4
Simpang Pesak;0;0;0;16;4
Dendang;2;0;5;36;3
Luar Daerah;0;0;0;7;1
Kabupaten;25;12;62;456;59
