Manggar;82.16;81.71
Mengkubang;71.62;70.72
Kelapa Kampit;83.49;83.49
Gantung;92.13;91.10
Renggiang;80.95;85.71
Simpang Pesak;86.11;86.11
Dendang;77.09;77.65
Kabupaten;83.29;83.15
