Manggar;41.78;50.15;46.82
Mengkubang;36.03;37.70;36.91
Kelapa Kampit;14.00;16.40;15.31
Gantung;22.25;16.74;18.23
Renggiang;9.92;26.15;20.06
Simpang Pesak;31.40;57.64;47.46
Dendang;26.10;33.77;30.71
Kabupaten;28.70;32.49;31.03
